id,text,misinformation_label,opinion_label,all_caps,exclamation_marks,hedging,adjectives,unk,annotator,exclamation_marks_bin,all_caps_bin,hedging_bin,adjectives_bin,unk_bin,jennifer,nicole,rachelle,shiao-li,split
100001,"man fuck this heat, it's like 110 out here in LA and I'm literally dying. idk how anyone survives this shit without AC. stay safe ppl.",0,1,[],[],[],"[['dying', 74, 79]]","[['fuck', 4, 8], ['shit', 108, 112]]",AI_Gen,0,0,0,1,1,0,0,0,0,train
100002,The proportion of residents without power in Dade County has doubled since 4 PM. Are the grids failing or just...,0,0,[],[],[],"[['failing', 101, 108]]",[],AI_Gen,0,0,0,1,0,0,0,0,0,train
100003,JUST IN: Massive explosion reported at a chemical plant in Houston. Residents told to shelter in place.,0,0,"[['JUST', 0, 4], ['IN', 5, 7]]",[],[],"[['reported', 26, 34]]",[],AI_Gen,0,1,0,1,0,0,0,0,0,train
100004,"idc what the news says, that sky looks weird as hell tonight. reminds me of the 2018 fires. staysafe #BCfire",0,1,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100005,"Reports of ""black rain"" in Tokyo after the factory fire are being investigated by environmental agencies.",0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100006,My car is covered in like two inches of ash this morning... feels like the apocalypse out here in Oregon.,0,1,[],[],"[['feels', 61, 66]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100007,"5 dead, dozens injured after a series of tornadoes ripped through rural Alabama late last night. #ALwx",0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100008,tbh the govt response to the floods in Kentucky has been fucking pathetic. ppl are losing everything.,0,1,[],[],[],"[['losing', 86, 92]]","[['fucking', 61, 68]]",AI_Gen,0,0,0,1,1,0,0,0,0,train
100009,WATCH: Dashcam footage shows the moment the hillside collapsed onto Highway 1 during the storm.,0,0,"[['WATCH', 0, 5]]",[],[],[],[],AI_Gen,0,1,0,0,0,0,0,0,0,train
100010,idk if I should leave or stay... the wind is getting crazy but the roads are already flooded.,0,1,[],[],"[['should', 9, 15]]","[['getting', 39, 46], ['flooded', 79, 86]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100011,Update: The #InsurrectionAct has NOT been invoked by the President. Stop spreading old rumors.,0,0,"[['NOT', 32, 35]]",[],[],"[['spreading', 71, 80]]",[],AI_Gen,0,1,0,1,0,0,0,0,0,train
100012,ffs the sirens just went off again. 3rd time tonight. I'm over this shit. #KSwx,0,1,[],[],[],[],"[['ffs', 0, 3], ['shit', 61, 65]]",AI_Gen,0,0,0,0,1,0,0,0,0,train
100013,"Air quality in the Bay Area hits ""Hazardous"" levels as smoke from the Camp Fire drifts south.",0,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100014,I'm unsure if the shelter at the community center is still taking people. Does anyone have info??,0,1,[],[],"[['unsure', 4, 10]]","[['taking', 61, 67]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100015,BREAKING: At least 200 homes destroyed as fast-moving brush fire jumps the 405 freeway.,0,0,"[['BREAKING', 0, 8]]",[],[],"[['moving', 48, 54]]",[],AI_Gen,0,1,0,1,0,0,0,0,0,train
100016,"URGENT: The white ash falling in Seattle isn't from the fires, it's actually biological weapons! SHARE!",1,0,"[['URGENT', 0, 6], ['SHARE', 98, 103]]","[['!', 97, 98], ['!', 103, 104]]",[],"[['falling', 17, 24]]",[],AI_Gen,1,1,0,1,0,0,0,0,0,train
100017,"Doctors are saying that the ""smoke"" is actually a sedative used to keep the public calm during the riots.",1,0,[],[],[],[],[],AI_Gen,0,0,0,0,0,0,0,0,0,train
100018,I reckon the government is using the hurricane to clear out the homeless in Florida. It's too convenient.,1,1,[],[],"[['reckon', 2, 8]]",[],[],AI_Gen,0,0,1,0,0,0,0,0,0,train
100019,THE UN IS BUILDING CAMPS IN THE DESERT UNDER THE GUISE OF DISASTER RELIEF. DON'T BE FOOLED!!,1,0,"[['THE', 0, 3], ['IS', 7, 9], ['BUILDING', 10, 18], ['CAMPS', 19, 24], ['IN', 25, 27], ['THE', 28, 31], ['DESERT', 32, 38], ['UNDER', 39, 44], ['THE', 45, 48], ['GUISE', 49, 54], ['OF', 55, 57], ['DISASTER', 58, 66], ['RELIEF', 67, 73]]","[['!', 91, 92], ['!', 92, 93]]",[],"[['BUILDING', 10, 18]]",[],AI_Gen,1,1,0,1,0,0,0,0,0,train
100020,Maybe the reason the power is out is because they're installing 6G towers that cause seizures. think about it.,1,1,[],[],"[['Maybe', 0, 5], ['think', 97, 102]]","[['installing', 51, 61]]",[],AI_Gen,0,0,1,1,0,0,0,0,0,train
100021,Leaked video: The fire in Hawaii was started by a blue laser from a satellite. Look at the beam!,1,0,[],"[['!', 94, 95]]",[],[],[],AI_Gen,1,0,0,0,0,0,0,0,0,train
100022,"I suspect the ""missing"" kids in the flood were taken for the underground tunnels. This shit is dark.",1,1,[],[],"[['suspect', 2, 9]]","[['missing', 16, 23]]","[['shit', 86, 90]]",AI_Gen,0,0,1,1,1,0,0,0,0,train
100023,ALERT: FEMA is poisoning the bottled water they are giving out at the relief centers. DO NOT DRINK.,1,0,"[['ALERT', 0, 5], ['DO', 87, 89], ['NOT', 90, 93], ['DRINK', 94, 99]]",[],[],"[['poisoning', 14, 23], ['giving', 50, 56]]",[],AI_Gen,0,1,0,1,0,0,0,0,0,train
