id,text,misinformation_label,opinion_label,all_caps,exclamation_marks,hedging,adjectives,unk,annotator,exclamation_marks_bin,all_caps_bin,hedging_bin,adjectives_bin,unk_bin,jennifer,nicole,rachelle,shiao-li
0,"No Food, No FEMA: Hurricane Michael’s Survivors Are Furious https://thebea.st/2CIXNoz ",0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
1,"Would-be looter in Hurricane Michael-ravaged Florida shot, killed after trying to steal law enforcement vehicle: report

https://www.foxnews.com/us/would-be-looter-in-hurricane-michael-ravaged-florida-shot-killed-after-trying-to-steal-law-enforcement-vehicle-report …
... All looters need to be handled the same way!",0,1,[],"[['!', 315, 316]]",[],[],[],Majority Vote,1,0,0,0,0,0,0,0,0
2,"His argument is correct. Hurricane Rita killed over 100 people on the road, drowned them in their own cars. pic.twitter.com/kulwIZW2EI",0,1,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
3,im praying for all of my friends down in the Caribbean who have no where else to go and are forced to ride through the hurricane. be strong https://twitter.com/ttrogdon/status/905205124699750401¬†‚Ä¶,0,1,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
4,To all my Texas streamers: PLEASE be safe if the hurricane comes to you! I‚Äôd hate to lose...family...don‚Äôt be a hero. Take shelter. pic.twitter.com/jDPPdMTHwN,0,1,"[['PLEASE', 27, 33]]","[['!', 71, 72]]",[],[],[],Majority Vote,1,1,0,0,0,0,0,0,0
5,RT @Stacy_Spencer: There is a Tornado warning. Service is canceled. Get to shelter and be safe. ¬´ praying for memphis.,0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
6,"WTF? » No food, no FEMA: Hurricane Michael’s survivors are furious - The Daily Beast https://apple.news/APp4E5UMtQT2ULJVMPM0ovw …",0,1,"[['WTF', 0, 3]]",[],[],[],"[['WTF', 0, 3]]",Majority Vote,0,1,0,0,1,0,0,0,0
7,"The aftermath of a hurricane is horrific. The heat/humidity is excruciating, no water/ice, no bathing, complete darkness, bugs, no warm food",0,1,[],[],[],"[['excruciating', 63, 75]]",[],Majority Vote,0,0,0,1,0,0,0,0,0
8,"No food, no FEMA: Hurricane Michael's survivors are furious - The Daily Beast https://apple.news/APp4E5UMtQT2ULJVMPM0ovw …",0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
9,You know they hate you at work when the TV manager picks you to go out with a camera and operate the LIVE DRIVE car in a tornado.,0,1,"[['LIVE', 101, 105], ['DRIVE', 106, 111]]",[],[],[],[],Majority Vote,0,1,0,0,0,0,0,0,0
10,@john19071969 It's unwise to flood the food supply and environment with new plant varieties. Good science requires more prudence.,0,1,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
11,Someone parked their car in the living room because of Hurricane Matthew http://dlvr.it/MPzpS1 ,0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
12,President Trump Gives Permission for US Troops to Stay at Trump Hotel in Washington DC https://t.co/PTHILtJqh3 via @gatewaypundit,1,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
13,Motorcyclist bicyclist injured in Denver collision on Broadway: At least two people were taken to a localÛ_ http://t.co/ozK1QHJVfh,0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
14,"“The effect of Hurricane Matthew on Haiti is catastrophic"" -food + water crisis... http://ln.is/GSphX  by #WSJ via @c0nvey",0,1,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
15,"i understand everyone has to make a buck, i would encourage you to think if food delivery during a blizzard is the best choice.",0,1,[],[],"[['understand', 2, 12], ['would', 44, 49], ['think', 67, 72]]",[],[],Majority Vote,0,0,1,0,0,0,0,0,0
16,"Yeah, but it's also unthinkable to tell hurricane refugees to ""have a great time,"" and to brag about the size of the crowd at shelter.",0,1,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
17,Birds in a blizzard. We put out extra sunflower seeds since their usual food sources just got‚Ä¶ https://www.instagram.com/p/BBS2eYWgTbj/¬†,0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
18,http://Findmytowedcar.com¬† for those that have had their cars towed due to the Hurricane in Houston. #hurricaneharvey,0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
19,"At the 'Wet n Wild' water park, where half the rides are shut due to the wind from Hurricane Sandy; on a ride called 'Storm'! Ah, the irony.",0,1,[],"[['!', 124, 125]]",[],[],[],Majority Vote,1,0,0,0,0,0,0,0,0
20,"All honeys that are gonna be affected by hurricane Matthew are welcome to come stay at 1505 W tharpe we have food,water and me",0,0,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
21,Nambe. This stupid hurricane comes and goes I am still here waiting for it to take me car,0,1,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
22,"Drove thru NC last week & experienced my first tornado - went right in front of our vehicle, people on the hwy freaked out more than my kids",0,1,[],[],[],[],[],Majority Vote,0,0,0,0,0,0,0,0,0
23,*eats the medicine @mlp_twilight gives him* whats a solar flare anyways? does the sun explode?!,0,0,[],"[['!', 94, 95]]",[],[],[],Majority Vote,1,0,0,0,0,0,0,0,0
